Id,League,Date,Time,Round,Home,Away,posicao_home,posicao_away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,Media_GM_H,Media_GS_H,Media_GM_H_10,Media_GS_H_10,Media_Total_2HT_H,CV_Media_Total_2HT_H,PPJ_H,CV_Pontos_H,Porc_Over05HT_Home,Porc_Over15HT_Home,Porc_Under05HT_Home,Porc_Home_Win,Porc_Home_Win_HT,Porc_Over25FT_Home,Porc_BTTS_Home,Diferente_0x0_Home,Media_GM_A,Media_GS_A,Media_GM_A_10,Media_GS_A_10,Media_Total_2HT_A,CV_Media_Total_2HT_A,PPJ_A,CV_Pontos_A,Porc_Over05HT_Away,Porc_Over15HT_Away,Porc_Under05HT_Away,Porc_Away_Win,Porc_Away_Win_HT,Porc_Over25FT_Away,Porc_BTTS_Away,Diferente_0x0_Away,xg_home,xg_away,xg_jogo
Is8rwtv2,FRANÇA - LIGUE 1,2023-12-16,13:00,RODADA 16,Le Havre,Nice,11.0,2.0,4.33,3.1,2.05,2.7,1.44,2.25,1.57,0.8,0.8,0.67,1.0,1.17,0.28,0.83,1.4,50.0,0.0,50.0,16.67,0.0,33.33,16.67,66.67,1.2,0.6,1.0,0.67,1.0,0.52,1.83,0.72,50.0,16.67,50.0,50.0,16.67,16.67,33.33,83.33,0.69,0.98,1.67
QJuRJQf5,ITÁLIA - SERIE A,2023-12-16,14:00,RODADA 16,Napoli,Cagliari,6.0,16.0,1.33,5.5,8.5,1.53,2.4,1.8,1.95,1.4,1.6,1.33,1.67,1.67,0.07,1.0,1.55,83.33,50.0,16.67,33.33,33.33,66.67,50.0,100.0,0.6,1.6,0.67,1.67,1.67,0.15,0.33,1.55,50.0,16.67,50.0,0.0,16.67,66.67,50.0,83.33,1.5,0.98,2.48
ltBZiTNt,BÉLGICA - LIGA JUPILER,2023-12-16,14:15,RODADA 18,RWDM,St. Truiden,11.0,8.0,3.5,3.3,2.1,2.05,1.8,1.8,1.95,1.4,1.2,1.14,1.0,0.71,0.4,1.43,0.79,57.14,57.14,42.86,28.57,0.0,28.57,71.43,85.71,1.6,1.8,1.43,1.57,1.57,0.19,1.43,0.79,57.14,57.14,42.86,28.57,28.57,42.86,57.14,100.0,1.59,1.39,2.98
nXY6TmGj,ALEMANHA - BUNDESLIGA,2023-12-16,14:30,RODADA 15,RB Leipzig,Hoffenheim,4.0,6.0,1.36,5.5,7.0,1.36,3.2,1.57,2.25,3.4,0.4,3.17,0.5,1.5,0.39,2.67,0.31,83.33,66.67,16.67,83.33,50.0,83.33,50.0,83.33,2.4,1.2,2.17,1.33,2.0,0.18,2.17,0.61,83.33,50.0,16.67,66.67,66.67,66.67,83.33,100.0,2.02,0.98,3.0
KvCZIPfo,INGLATERRA - PREMIER LEAGUE,2023-12-16,14:30,RODADA 17,Burnley,Everton,19.0,17.0,3.3,3.4,2.2,2.08,1.82,1.8,1.95,0.4,2.4,1.29,2.43,2.14,0.26,0.43,2.65,85.71,57.14,14.29,14.29,14.29,71.43,42.86,100.0,1.4,1.8,1.5,1.83,1.83,0.2,1.67,0.9,66.67,66.67,33.33,50.0,0.0,66.67,50.0,100.0,0.85,1.83,2.68
vLfFtSk0,ESPANHA - LALIGA,2023-12-16,14:30,RODADA 17,Sevilla,Getafe,16.0,9.0,1.73,3.6,5.0,2.25,1.62,2.05,1.7,1.0,1.2,1.14,1.29,1.86,0.09,1.0,1.0,28.57,28.57,71.43,14.29,0.0,42.86,85.71,100.0,1.6,2.4,1.29,2.29,1.71,0.2,0.43,1.25,100.0,42.86,0.0,0.0,28.57,71.43,71.43,100.0,1.55,1.39,2.94
tfWNUy3m,ESPANHA - LALIGA2,2023-12-16,14:30,RODADA 20,Cartagena,Burgos,20.0,13.0,2.45,2.8,3.4,2.88,1.4,2.2,1.62,1.0,2.0,0.75,1.88,1.25,0.2,0.5,2.14,75.0,25.0,25.0,12.5,12.5,50.0,50.0,100.0,1.0,2.0,0.88,1.88,1.62,0.16,0.5,2.14,75.0,25.0,25.0,12.5,12.5,62.5,62.5,100.0,1.41,1.41,2.82
WrPzSZn6,ESPANHA - LALIGA2,2023-12-16,14:30,RODADA 20,Sporting Gijón,Leganés,3.0,1.0,2.0,2.9,4.5,3.1,1.36,2.63,1.44,2.0,0.8,1.75,0.62,1.12,0.24,2.25,0.46,75.0,37.5,25.0,62.5,50.0,50.0,50.0,87.5,1.4,0.4,1.0,0.5,0.88,0.44,1.62,0.93,62.5,0.0,37.5,50.0,12.5,12.5,12.5,100.0,0.89,1.06,1.95
r7IKaenO,PAÍSES BAIXOS - EREDIVISIE,2023-12-16,14:45,RODADA 16,Excelsior,G.A. Eagles,12.0,6.0,2.88,3.75,2.3,1.57,2.35,1.53,2.38,1.4,2.2,1.5,2.0,2.67,0.16,1.0,1.1,50.0,33.33,50.0,16.67,16.67,66.67,83.33,83.33,0.6,2.0,0.67,1.67,1.67,0.0,1.0,1.1,50.0,16.67,50.0,16.67,16.67,33.33,50.0,83.33,1.67,1.15,2.82
djnnN34K,ARÁBIA SAUDITA - LIGA PROFISSIONAL SAUDITA,2023-12-16,15:00,RODADA 17,Al-Ettifaq,Al-Taawon,8.0,4.0,2.4,3.25,2.8,2.15,1.67,1.91,1.8,1.6,1.4,1.83,1.33,1.67,0.33,1.83,0.72,66.67,33.33,33.33,50.0,16.67,66.67,83.33,83.33,1.4,1.0,1.29,1.14,1.0,0.31,1.57,0.89,85.71,42.86,14.29,42.86,28.57,28.57,57.14,100.0,1.26,1.4,2.66
vsAnT0tc,PORTUGAL - LIGA PORTUGAL,2023-12-16,15:00,RODADA 14,Arouca,Gil Vicente,18.0,14.0,1.91,3.4,4.2,2.03,1.83,1.8,1.95,1.4,1.6,1.17,1.67,1.83,0.21,0.83,1.4,66.67,33.33,33.33,16.67,0.0,33.33,50.0,100.0,1.0,2.6,1.0,2.6,2.2,0.12,0.0,,60.0,60.0,40.0,0.0,20.0,80.0,80.0,100.0,1.91,1.26,3.17
K4w9agA0,PORTUGAL - LIGA PORTUGAL 2,2023-12-16,15:00,RODADA 14,AVS,Ferreira,2.0,10.0,2.1,3.2,3.6,2.3,1.6,2.0,1.73,0.8,0.4,0.83,0.33,0.33,0.32,2.0,0.77,83.33,0.0,16.67,66.67,66.67,0.0,0.0,100.0,0.4,1.4,0.4,1.4,0.8,0.24,0.2,2.24,60.0,20.0,40.0,0.0,0.0,40.0,40.0,80.0,1.06,0.4,1.46
EPqyNCoj,ALEMANHA - 2. BUNDESLIGA,2023-12-16,16:30,RODADA 17,Kiel,Hannover,2.0,7.0,2.1,3.6,3.2,1.73,2.08,1.57,2.25,2.2,2.2,2.29,2.0,2.71,0.12,1.86,0.79,85.71,57.14,14.29,57.14,42.86,85.71,100.0,100.0,1.2,1.4,1.29,1.29,1.43,0.1,1.29,0.97,71.43,42.86,28.57,28.57,57.14,57.14,71.43,85.71,1.75,1.62,3.37
htCNIpAB,ITÁLIA - SERIE A,2023-12-16,16:45,RODADA 16,Torino,Empoli,11.0,18.0,1.55,4.0,6.5,2.07,1.83,2.05,1.7,1.2,0.8,1.0,0.67,1.17,0.2,1.83,0.72,33.33,16.67,66.67,50.0,16.67,50.0,16.67,66.67,1.0,2.0,0.83,2.17,2.0,0.15,1.17,1.26,66.67,16.67,33.33,33.33,16.67,50.0,33.33,100.0,1.55,0.89,2.44
bVAbnPiI,BÉLGICA - LIGA JUPILER,2023-12-16,16:45,RODADA 18,St. Liege,Charleroi,9.0,13.0,2.15,3.5,3.4,1.98,1.88,1.75,2.0,1.2,1.0,1.0,1.0,1.0,0.34,1.29,0.97,71.43,28.57,28.57,28.57,28.57,28.57,57.14,85.71,0.6,1.8,0.57,1.71,0.71,0.39,0.29,1.71,57.14,42.86,42.86,0.0,0.0,42.86,42.86,71.43,1.47,0.77,2.24
dSJZv29k,FRANÇA - LIGUE 1,2023-12-16,17:00,RODADA 16,Lens,Reims,7.0,8.0,2.25,3.3,3.25,2.05,1.85,1.8,1.95,1.0,0.8,1.33,1.0,1.17,0.32,1.83,0.72,83.33,33.33,16.67,50.0,16.67,33.33,66.67,100.0,1.2,1.8,1.29,1.57,1.71,0.11,1.14,1.18,57.14,57.14,42.86,28.57,14.29,71.43,85.71,100.0,1.34,0.98,2.32
lW12qU5s,ESPANHA - LALIGA,2023-12-16,17:00,RODADA 17,Valencia,Barcelona,11.0,4.0,5.25,4.2,1.57,1.6,2.3,1.7,2.05,1.4,0.4,1.33,0.33,0.67,0.17,2.17,0.61,66.67,33.33,33.33,66.67,50.0,33.33,16.67,83.33,1.2,1.0,1.33,1.0,1.0,0.25,1.67,0.62,66.67,33.33,33.33,33.33,16.67,50.0,66.67,83.33,1.18,0.69,1.87
23XJVHms,ESPANHA - LALIGA2,2023-12-16,17:00,RODADA 20,Mirandes,Albacete,14.0,15.0,3.6,3.3,2.1,2.25,1.62,1.91,1.8,1.6,1.2,1.56,1.56,1.67,0.25,1.22,1.14,77.78,66.67,22.22,33.33,33.33,66.67,66.67,88.89,0.6,1.8,1.12,2.12,2.0,0.43,0.62,1.7,87.5,37.5,12.5,12.5,12.5,50.0,62.5,100.0,1.7,0.85,2.55
EXDG0yXH,PAÍSES BAIXOS - EREDIVISIE,2023-12-16,17:00,RODADA 16,Heerenveen,FC Volendam,9.0,18.0,1.25,6.0,12.0,1.4,2.88,1.8,1.95,1.6,1.6,1.83,1.33,1.33,0.16,1.67,0.9,100.0,66.67,0.0,50.0,50.0,83.33,50.0,100.0,0.8,3.0,1.0,2.86,2.43,0.08,0.14,2.65,85.71,42.86,14.29,0.0,14.29,85.71,71.43,100.0,2.19,1.13,3.32
